Автор,Оценка,Продавец,Фото,Лайки,Дизлайки,Реакции,Рейтинг,Текст,Час,День,Месяц,Год,Наличие эмодзи,Количество_!,Длина_Текста,sentiment_anger,sentiment_enthusiasm,sentiment_fear,sentiment_happiness,sentiment_neutral,sentiment_sadness,skip,positive,negative,neutral,speech
0,4,1,0,0,0,0,0,цена мягкий хотелось пожосче,19,29,6,2024,0,0,1,False,False,False,True,False,False,0.17,0.42,0.2,0.1,0.01
1,5,1,0,0,0,0,0,  Просто кайф,21,29,6,2024,0,0,1,False,False,False,True,False,False,0.12,0.48,0.23,0.07,0.01
0,5,1,0,0,0,0,0,"  Очень комфортный матрац,средней жёсткости.Советую!",23,29,6,2024,0,1,1,False,False,False,True,False,False,0.12,0.15,0.13,0.41,0.01
1,5,1,0,1,0,1,1,"качество и недорого нет Я заказал себе комплект BuyCombo и не пожалела об этом. Матрас очень удобный, подушка и одеяло также хороши. Очень удобно, что все в одном комплекте, не нужно заморачиваться с поисками подходящих товаров. Качество материалов также на высоте. Рекомендую этот комплект всем, кто ищет удобный и качественный набор для сна.",16,18,5,2023,0,0,4,False,False,False,False,True,False,0.08,0.12,0.15,0.67,0.0
1,5,1,1,0,0,0,0,"Цена, качество не обнаружено Комплект пришел, в виде рулона, завёрнутый в полиэтилен и перетянутый широкой веревкой. После вскрытия матрас сразу распрямился. Запаха не было. Всё вполне добротного качества, остался доволен!",21,21,2,2024,0,1,3,False,False,False,False,True,False,0.13,0.37,0.21,0.24,0.01
1,5,1,0,0,0,0,0,"мягкий односторонний крутой матрас, старый начал колоться пружинами поэтому решил купить этот, почитал отзывы и решился. и правда матрас очень удобный, как по мне идеальный. сплю уже наверное около полугода и с моим весом в 120кг ничего не продавилось, все в порядке. жаль только что он односторонний, но мне все равно нравится. рекомендую",16,2,2,2024,0,0,4,False,False,False,False,True,False,0.18,0.4,0.23,0.1,0.0
1,5,1,0,0,0,0,0,"Отличный матрас, не очень жесткий, скорее средней жесткости, мягкие подушки и невесомое одеяло, привозят в упакованном пакете, который занимает очень мало места Жесткость матраса скорее средняя Купила с хорошим кешбеком, привезли в назначенную дату, все отлично упаковано, в эксплуатации уже около месяца - нисколько не жалею о покупке",10,19,6,2024,0,0,4,False,False,False,False,True,False,0.08,0.55,0.08,0.07,0.06
1,5,1,0,0,0,0,0," Не обнаружила Переехали на новую квартиру, а тут ни кровати ни матраса, ну я конечно сразу полезла на Мегамаркет в поисках идеального. Отличный матрас, очень удобно на нем спать, не жесткий. В комплекте такое приятно легкое одеяло и подушки, как раз планировала сменить свои. Вообщем покупкой полностью довольна, хорошее качество за приятную цену",9,18,1,2024,0,0,4,False,False,False,True,False,False,0.11,0.25,0.16,0.37,0.01
1,5,1,1,0,0,0,0,"отличный матрац, мягкий, удобный, не проваливается. доставка прошла быстро в согласованное время. в подарок лёгкое одеяло и 2 подушки. запах от матраса минимальный, через день выветрился! нет отличный товар за свои деньги",10,20,1,2024,0,1,3,False,False,False,False,True,False,0.19,0.33,0.25,0.13,0.02
0,5,1,1,0,0,0,0,"Очень хороший на мой взгляд матрас, достаточно мягкий. Спина не болит теперь ) Из-за его толщины матраса теперь постель нужно брать больше ) Хорошо упакован. Толщина приятно удивила. Правда мои простыни маловаты для него.",9,17,4,2024,0,0,3,False,False,False,True,False,False,0.1,0.4,0.16,0.2,0.01
1,5,1,1,0,0,0,0,"достаточно мягкий - Хороший матрас, пришëл компактно свëрнутым в рулон. Подушки с одеялом из комплекта тоже прижились. Спится замечательно, но по ощущениям это не средняя жёсткость. Кому нужно пожестче, может не подойти",14,23,2,2024,0,0,3,False,False,False,False,True,False,0.13,0.16,0.22,0.36,0.01
1,1,1,0,4,3,7,1,"Не заметил Одеяло и подушки не очень. Приобрели данный комплект под новую кровать. Матрас вроде нормальный, форму держит не проваливается. Подушки одно название, толщина как у одеяла. Одеяло тёплое комфортное, но есть одно, но,матрас 200×160, а вот одеяло почему-то 200×140. Как спать под этим одеялом вдвоём. Куда смотрят когда комплектующие",13,12,2,2024,0,0,4,False,False,False,False,True,False,0.07,0.48,0.52,0.08,0.01
1,5,1,0,0,0,0,0,"Покупал для мамы.Все достоинства этого комплекта она смогла уместить в два слова:""КАКОЙ КАЙФ!"" Какие минусы?Всё-идеально! Комплект действительно превосходный!Ничего подобного мне раньше не встречалось!И это только кажется что стоит дороговато.Поверьте-это того стоит!Тот редкий случай-когда качество во много раз превосходит цену!",15,23,5,2024,0,4,4,False,True,False,False,False,False,0.11,0.11,0.18,0.51,0.01
1,5,1,1,0,0,0,0,"Прияиное покрытие у матраса Подушка внутри скомканная Отличный матрас, пришел упаковрванный хорошо. Мягкий, но упругий. Подушка так себе, внутри комковатая, но для дочки подойдет, она не любит плотные. Одеяло хорошее",11,8,11,2023,0,0,3,False,False,False,False,True,False,0.08,0.21,0.14,0.19,0.04
0,5,1,0,0,0,0,0,"Лучший матрас нет отличный матрас,по крайне низкой цене,самый лучший матрас из тех,что у меня были за 15 лет,заявленный вес в 140 кг выдерживает легко,у меня 110,под мой вес прогибается очень незначительно, очень удобный,спина действительно на нем отдыхает,приятный бонус одеяло и подушка,ставлю 10 звёзд из пяти возможных этому матрасу",18,25,6,2023,0,0,4,False,False,False,False,True,False,0.12,0.09,0.12,0.62,0.0
1,5,1,0,0,0,0,0,"Пришел собранный в рулон. Это оченл удобно, а я то думал, как мне его доставлять будут. Не заметил Кайфовый матрас, очень удобный. Принимает положение тела.  В комплекте шла еще подушка с одеялом. Думал будут фиговые, но как оказалось вполне себе. Буду пользоваться. В общем по крайней мере пока минусов не увидел и доволен, как слон ))))",20,8,9,2023,0,0,4,False,False,False,False,True,False,0.11,0.41,0.12,0.08,0.02
