Автор,Оценка,Продавец,Фото,Лайки,Дизлайки,Реакции,Рейтинг,Текст,Час,День,Месяц,Год,Наличие эмодзи,Количество_!,Длина_Текста,sentiment_anger,sentiment_enthusiasm,sentiment_fear,sentiment_happiness,sentiment_neutral,sentiment_sadness,neutral,negative,positive,skip,speech
1,5,1,0,0,7,7,-7,"много места, надежный я не выявил Я хочу поделиться своими впечатлениями об SSD накопителе KingSpec P4-240 2.5"" 240 ГБ. Этот накопитель стал для меня настоящим открытием в мире хранения данных. Впечатляющая емкость 240 ГБ и форм-фактор 2.5"" делают его идеальным выбором для улучшения производительности компьютера или ноутбука.",18,26,2,2024,0,0,4,False,False,False,False,True,False,0.72,0.15,0.13,0.03,0.01
1,5,1,0,0,15,15,-15,"  Совершенно удивительное устройство! Я так долго мечтал об увеличении производительности моего компьютера, и благодаря SSD накопителю KingSpec P4-240 2.5"" 240 ГБ я наконец-то смог достичь этой цели. Установка была простой и быстрой, а скорость работы программ просто поражает! Теперь моя система загружается в разы быстрее, приложения открываются моментально, а передача данных и копирование файлов теперь занимают считанные секунды.",11,12,2,2024,0,2,5,False,True,False,False,False,False,0.71,0.17,0.15,0.04,0.01
0,5,1,0,0,9,9,-9,"  SSD накопитель KingSpec P4-240 2.5"" 240 ГБ - это невероятно крутой продукт, который просто поразил меня своей быстротой и надежностью. Я приобрел его в интернет-магазине Мегамаркет и с самого первого включения был в восторге от его производительности.",12,12,2,2024,0,0,3,False,False,False,True,False,False,0.46,0.13,0.31,0.05,0.02
0,5,1,0,0,9,9,-9,"  SSD накопитель KingSpec P4-240 2.5"" 240 ГБ просто потрясающий! Не могу нарадоваться своей покупке. Скорость работы устройства поражает, все приложения запускаются моментально, загрузка операционной системы занимает считанные секунды. Игры и видео обрабатываются без тормозов, а производительность ноутбука стала на порядок выше.",12,12,2,2024,0,1,4,False,False,False,False,True,False,0.73,0.17,0.1,0.07,0.01
0,5,1,0,0,4,4,-4,  оТЛиЧНО ОтЛИЧНО оТЛичНО отЛиЧнО отлиЧно ОТлиЧнО ОтлИчНо оТлИЧНо оТЛичНО отлИЧНО оТлИчнО ОтлИЧНо отлиЧнО ОтЛично ОТличНо ОТличНО отЛиЧНо оТлИчнО отЛИчно отЛИЧНо ОтлиЧнО ОТличНо ОТЛичНо ОТлично ОтлиЧНО отЛиЧНО оТЛИЧнО оТлиЧНО отЛИЧнО ОТЛичнО оТлИчнО ОтлиЧно ОТлиЧно оТлИчНО ОтлиЧнО оТЛИчно ОТЛИЧно ОТлИЧНо ОТЛиЧнО ОТлИЧНо отЛИЧНО ОтлИЧно оТлиЧНо ОтЛиЧНО оТлично ОтлИЧНО ОТлиЧно отлИчнО отЛичНО ОТлИЧНо отличнО отлиЧно оТличнО ОтЛиЧно отлИЧно Отлично ОтлИЧНо ОТлиЧно отЛИЧНо отлИчнО ОтЛИчНо отлИЧНо ОТлиЧнО оТлично ОТЛиЧНо оТлиЧно ОТлИЧно оТлИЧНо отлИчНО ОТЛично отлИЧНо ОтлИчнО отЛИчНо ОтЛиЧнО ОТЛИЧнО оТЛичнО ОтлиЧНО оТлИЧно отлично ОтЛИЧно Отлично ОтЛИЧнО оТлиЧнО ОтЛиЧНО оТлИЧНО оТЛично ОТлИчНо ОТЛИчНО ОТлИчнО ОтлиЧНо оТлИчНо оТЛиЧно ОТлиЧНо оТлИЧнО оТЛиЧНо отлИЧно оТлИЧНо оТЛиЧнО оТлиЧнО оТЛиЧНо оТлИчно,3,5,6,2024,0,0,9,False,False,False,True,False,False,0.0,0.02,1.0,0.01,0.02
0,5,1,0,0,3,3,-3,  отЛИЧно отЛИчНо ОтЛиЧно отЛиЧНо отЛИчнО ОТЛИЧНО ОтлИчНО ОТлИЧНо ОТЛичНо ОТлИчНО ОтлИчнО ОтЛИЧнО ОТЛиЧНо ОтлиЧНо оТЛичНО отЛИчнО отлИчНО ОтЛичнО ОтлИЧнО ОТлИчНо оТЛИЧНо оТлИЧнО оТЛичНо оТлиЧно оТЛиЧНо отлИЧНО ОтлиЧно оТлИЧНо оТлИчно оТлИЧНо ОтЛичНо оТлиЧНО отЛиЧНО ОТлИчНО Отлично оТлИЧНО ОТлИчнО оТлИЧНО оТЛИЧнО оТЛИчнО отлИЧно ОТЛИЧнО ОтличнО ОтЛиЧнО отлиЧНО отлиЧнО ОТлИчНО ОтлИЧНо ОтлИчНО ОтлиЧНО ОТлИЧНО отЛИчно ОТлИчно оТЛичНО оТлИЧНО ОТличнО ОтлИЧно ОТЛичНО отлИЧНо ОтЛИчНо оТЛичНО оТлИЧнО ОтлиЧно отЛИчНО ОтЛИЧНО ОТлИчнО ОтличнО ОтличНо отлИЧнО ОтлИЧНо отлИЧно ОтличНо ОТЛиЧно оТЛиЧно ОтличНо оТЛИчно оТЛИЧНО ОтЛично ОтЛИчНО отлиЧНо ОТЛичнО ОТЛИчно ОТЛиЧнО ОТЛИЧНо оТЛиЧНо ОтлИЧНо отлиЧно ОТлИчно ОТЛИчно оТЛИЧнО оТЛИчно оТлИчНО ОтЛИЧно оТлиЧНо оТлиЧно ОТлиЧно ОТлИЧНо оТлИЧнО оТЛиЧнО,3,5,6,2024,0,0,8,False,False,False,True,False,False,0.0,0.02,1.0,0.01,0.02
0,5,1,0,0,3,3,-3,  оТЛиЧно отЛичНО отличНо ОТЛИЧнО ОтЛичНО отлИЧНО ОтЛиЧНО ОТличНо ОТличНо ОтЛично ОтЛиЧНО отЛИчнО отЛИчнО ОтЛИчно отЛичНО отличНо отлИЧнО ОТлИЧнО ОТлИЧНо отлиЧно ОТЛИЧНО ОтЛИчНО оТличНо ОТлИЧНО отлИчнО оТЛИчНО оТЛИЧнО ОТЛИчНО ОТЛИчно отЛИчНо ОТлиЧНо оТЛИчно оТЛиЧНо оТлИЧНО отЛичнО оТлИчно оТлИчНО отличНо ОтличнО ОтлиЧНо отЛИчНО ОТЛИЧНО отлИчНО ОТЛИЧно оТлИЧНО ОтлИЧно отлИчНО ОтлиЧНо оТЛИЧнО отЛИчнО отличНо отлИЧНО оТлИЧно ОтлИЧНО ОтЛИЧНо ОТЛичНо оТЛичнО оТличНо отлиЧНо отЛИЧнО ОтлИчНО оТЛиЧно оТЛИЧНо отлично ОТличНО отлИчНо отлИчНО ОтлИЧно ОТЛичНо ОТЛИчно ОТлИчнО ОТлиЧНо ОтЛиЧНО ОтлиЧно,3,5,6,2024,0,0,6,False,False,False,True,False,False,0.0,0.02,1.0,0.01,0.02
1,5,1,0,2,14,16,-12,"  В мире технологий и прогресса, Где скорость решает все, SSD накопитель, как воздух, Нужен каждому в комьюнити.",16,20,12,2023,0,0,2,False,False,False,False,True,False,0.72,0.14,0.03,0.1,0.01
0,5,1,0,0,2,2,-2,"Шустрый Не заметил SSD накопитель KingSpec P4-240 2.5"" 240гб - это отличное устройство для улучшения производительности компьютера. Благодаря его небольшим размерам и вместительности 240гб, я могу хранить большое количество данных и запускать приложения без задержек. Скорость чтения и записи на этом SSD накопителе впечатляет - все операции выполняются моментально. Установка была быстрой и простой, а сам SSD накопитель работает безупречно уже несколько месяцев. Я очень доволен своей покупкой и рекомендую KingSpec P4-240 всем, кто хочет повысить производительность своего ПК.",7,30,3,2024,0,0,6,False,False,False,False,True,False,0.63,0.18,0.09,0.04,0.03
1,5,1,3,2,0,2,2,"Скорость, цена, гарантия Маленький объем На замену старенькому жесткому диску купил SSD KingSpec на 240Гб. Места хватило под систему, программы и пару игр. В следующий раз куплю на 1Гб. После подключения диск в системе не определился. Через управление дисками был создан новый раздел и отформатирован. После этого ССД появился в системе.",17,13,3,2024,0,0,4,False,False,False,False,True,False,0.81,0.13,0.03,0.1,0.0
